,Payment_system_provider,Payment_number,date_time,Gross_amount,Net_amount,VAT_amount,Store_name,Status,POS,Quantity,Payment_method,Staff_member,Discount,Membership_number,Payment_Confirmation_Code,Currency,Gateway_Fee,Card_Type,Customer_Segment,Card_ID,Location,Loyalty_Points,Refund_Eligibility,Week_day
0,Shopify,PMT5209,01/09/2024 09:00,261.98,218.32,43.66,Zara,Completed,POS2,3,Cash,Staff3,0,MEM00000,CONF56091,GBP,4.17,Discover,New Customer,N/A,London,0,Eligible,7
1,Braintree,PMT7618,01/09/2024 09:16,130.97,109.14,21.83,Zara,Completed,POS3,3,Cash,Staff3,0,MEM00000,CONF98633,GBP,2.1,MasterCard,New Customer,N/A,London,0,Eligible,7
2,Braintree,PMT1733,01/09/2024 09:40,548.98,457.48,91.5,Zara,Completed,POS2,3,Cash,Staff2,10,MEM92451,CONF30592,GBP,8.85,Discover,Member,N/A,London,45,Eligible,7
3,Braintree,PMT6197,01/09/2024 09:58,9.99,8.33,1.66,Zara,Completed,POS2,1,Cash,Staff2,5,MEM17096,CONF14811,GBP,0.11,Discover,Member,N/A,London,0,Eligible,7
4,WorldPay,PMT4946,01/09/2024 10:14,188.99,157.49,31.5,Zara,Completed,POS2,2,Debit Card,Staff3,0,MEM00000,CONF14407,GBP,4.88,Amex,New Customer,CARD4030,London,0,Eligible,7
5,Shopify,PMT3252,01/09/2024 10:31,19.99,16.66,3.33,Zara,Cancelled,POS3,1,Cash,Staff2,5,MEM36936,CONF51446,GBP,0.27,Visa,Member,N/A,London,1,Eligible,7
6,Braintree,PMT2844,01/09/2024 10:58,229,190.83,38.17,Zara,Completed,POS3,1,Cash,Staff2,0,MEM00000,CONF30320,GBP,3.89,Amex,New Customer,N/A,London,0,Eligible,7
7,Shopify,PMT6538,01/09/2024 11:18,504.98,420.82,84.16,Zara,Completed,POS2,3,Credit Card,Staff4,0,MEM00000,CONF40991,GBP,6.96,Amex,New Customer,CARD3120,London,0,Eligible,7
8,Braintree,PMT4560,01/09/2024 11:38,229,190.83,38.17,Zara,Completed,POS3,1,Cash,Staff1,0,MEM00000,CONF28411,GBP,5.45,Visa,Returning Customer,N/A,London,0,Eligible,7
9,WorldPay,PMT7559,01/09/2024 11:54,517.99,431.66,86.33,Zara,Completed,POS3,3,Cash,Staff4,0,MEM00000,CONF39455,GBP,9.86,Visa,Returning Customer,N/A,London,0,Eligible,7
